scan_name,proposed_scan_group,note
the package was discarded at the sender s request please contact the sender for details,,
your package has been delayed due to operating conditions we will attempt to deliver again the next business day,,
as requested by the sender this package requires special handling,,
unfortunately a labor strike unrelated to ups has prevented delivery of your package,,
the package will be delivered to the ups access point location requested by the receiver,,
ups is reviewing the shipment clearance information we will notify you if additional information is needed,,
the receiving country s government is reviewing your shipment for entry clearance,,
the package will be delivered to the recipient s preferred ups access point location,,
the package will be delivered to the ups access point location on the next business day,,
merchandise has been delivered to the receiver ups will notify the sender with details of the damage,,
the entire shipment was not delivered,,
the package will be delivered to the original receiver s address,,
ups access point location closed and package not delivered another attempt will be made to ups access point location,,
as requested the ups my choice package will be delivered to the customer s preferred ups access point location,,
/ the package is undeliverable and is in the process of being disposed of according to the local guidelines,,
your package is being delayed due to the processing involved with handling lithium batteries,,
your package is being held because it exceeds the regulatory limit for lithium battery capacity,,
ibil Consignment billed,,
icrr Receipt of consignment advice,,
i139 Export item accepted into network,,
i155 - Left origin country,,
iscn - consignment activated,,
i101 Received at delivery depot,,
i156 Tracked out for delivery,,
ipdf Delivered,,
ix Miscellaneous,,
i169 Collection attempted - parcel not available,,
icon Addressee advised to collect from Post Office,,
i234 Deliver to Neighbour Track,,
i119 Address problem - insufficient address,,
i510 Addressee advised to pick up from Post Office,,
i135 Return item accepted for re-export,,
i500 Collection from Post Office,,
i299 Sorted,,
i143 Awaiting Customs clearance,,
i264 Export item despatched from Domestic OE,,
i144 Customs charges raised,,
ihpd Attempted delivery,,
i163 Podium attempted delivery,,
i127 Addressee to collect from depot,,
ihrm Handed to delivery partner,,
i128 Address problem - insufficient address,,
ipdp Delivered,,
i132 Forwarded to correct depot,,
i125 Addressee requested later delivery,,
i161 Refused - unsuitable packaging,,
i131 Received at incorrect delivery depot,,
i121 Damage observed and noted,,
i107 Received at incorrect delivery depot,,
i520 Convenient delivery customer collected,,
i122 Attempted delivery - refused by addressee,,
i159 Collection attempted - parcel overweight,,
i134 Sent to recovery centre,,
i160 Refused - item oversize,,
i268 Delivery delayed (to be rescheduled) - SMS sent to recipient,,
i120 Returned to depot,,
ipwi COLL ITEMS CHNG,,
i114 Delivery to be scheduled - local holiday,,
i111 Redelivery scheduled,,
i113 Parcel redirected,,
i110 Addressee requested later delivery,,
ipmd Delivery confirmed,,
icru Update of consignment advice,,
i540 Not collected by addressee - return to sender,,
ipax Delivery address suspect,,
Recipient email address - domestic traffic,,
Not collected by addressee - return to sender,,
Collected by addressee,,
Damage observed and noted,,
Handed to delivery agent,,
Do not display,,
Delivery delayed and rescheduled,,
Delivered to customers collection point,,
Wrong delivery address,,
Local collect customer collect (with fee),,
Recipient mobile number - domestic traffic,,
Sender email address - domestic traffic,,
Sender mobile number - domestic traffic,,
Collection attempted - parcel damaged,,
Delivered to safe place - No signature required,,
Held - scheduled delivery,,
No PreAdvice Failed PIN Validation Attempt,,
Refused by addressee - return to sender,,
Cancellation record received,,
"Lost, damaged or returned",,
Consignment set for deletion,,
Refused - hazardous goods,,
Parcel cannot be located,,
Awaiting addressee's instruction,,
icrc Cancellation record received,,
ipda Consignment set for deletion,,
"ildr Lost, damaged or returned",,
i232 Delivered to safe place - No signature required,,
i534 Not collected by addressee - return to sender,,
i167 Collection attempted - no response,,
i531 Not collected by addressee - return to sender,,
i162 Refused - hazardous goods,,
